"created_at","tweet.text","state"
"Mon May 18 20:27:03 +0000 2020","Great for you Alex. I got my COVID-19 test last Friday. Expecting results any day, but no symptoms. Just gotta know.","Arizona"
"Mon May 18 20:27:32 +0000 2020","@inafelltoearth And the reports of the post-covid symptoms are pretty terrifying too. You'd think potentially perma… https://t.co/Sl223hgvct","Oregon"
"Mon May 18 20:27:35 +0000 2020","Americans end up paying for Trump’s tariffs on China. \nAmericans end up dying for Trump’s inability to being a lead… https://t.co/OHLHEyFqN4","California"
"Mon May 18 20:27:37 +0000 2020","What in a the fresh HELL???","New York"
"Mon May 18 20:27:45 +0000 2020","Meanwhile boomer grandparents are like Santa Claus is real, but COVID-19 is a hoax.","Illinois"
"Mon May 18 20:27:48 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Sunburst by Sean U, from… https://t.co/erpUIyXoXm","California"
"Mon May 18 20:27:52 +0000 2020","Knew this","Louisiana"
"Mon May 18 20:28:41 +0000 2020","@SonGeneSon @MarshallCross69 @travion23 @pabIoestrada @CashNastyGaming Do you honestly think cramps are contagious… https://t.co/HBfOEkOv1E","Virginia"
"Mon May 18 20:29:03 +0000 2020","@OneJurorMatters @bones7616 @kandinsky68 @dagobootie @Judy80sforever  oh boy smh","Illinois"
"Mon May 18 20:29:05 +0000 2020","Gyms and in Texas open today and I’m finally getting a membership. Thanks COVID-19. https://t.co/XrLYpM2c9T","Texas"
"Mon May 18 20:29:20 +0000 2020","you can be asymptomatic. you can be presymptomatic. without knowing it, you can spread COVID-19 when you go to the… https://t.co/5sF1ByRAy0","California"
"Mon May 18 20:29:27 +0000 2020","An intriguing prospect","California"
"Mon May 18 20:29:33 +0000 2020","Covid turned the strip joint into a peep show 😂😂😂","Ohio"
"Mon May 18 20:29:36 +0000 2020","Tasty Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid 19-… https://t.co/joPCxdnKkC","Georgia"
"Mon May 18 20:29:47 +0000 2020","I blame tRump","North Carolina"
"Mon May 18 20:29:51 +0000 2020","‘Baltimore Black-Led Solidarity Fund’ launches to provide micro-grants for black-led organizations impacted by COVI… https://t.co/c0RYJDy73P","Maryland"
"Mon May 18 20:30:41 +0000 2020","@Pedrrroooaaarrr I think it would be fair to have a contract that pays players deferred compensation (for what they… https://t.co/0XX9Jr8NvX","Indiana"
"Mon May 18 20:30:41 +0000 2020","Those that watch FOX news and other misfits,got wrong advise as usual. Right Sean!","Florida"
"Mon May 18 20:30:43 +0000 2020","The answer is: your life","Massachusetts"
